taxonID,type,scientificName,parser_run
ee56251e-6671-589e-8b90-e96d72e47d02,acronym,PEV-J10,
1e3964ca-11d7-5f79-bc30-cd6ef296de77,acronym,Cilv-C,
baea26a4-4ffc-5359-80ff-8f3008af801f,acronym,PBCV-MT325,
532d6439-7acb-5d05-b6d4-ea1e92462eb8,acronym,PBCV MT325,
19905257-1b5e-56bc-b070-5db5cdfc193d,acronym,LmjF,
34a67e9a-6152-57f8-8d0d-c1e7bda2e907,acronym,Bcep176,
7ce606fa-3b40-55af-82df-477d02903aea,acronym,HpMV,
3224ac04-eb43-528e-8b5d-0212222b3e25,acronym,MHV-1,
1dd048da-6808-53f2-a983-fccf461029a0,acronym,WMV2,
23a1d99a-3c02-548e-a813-1d9a534f53df,acronym,BpPV1,
c8ac3bcc-7454-54b4-8621-0dfc60630336,acronym,Metriorhynchus palawanensis,1
f6f3fba1-4a68-524e-8019-7fb08bc584a0,acronym,Ziziphus oenoplia,1
df612abd-a442-5a1b-862c-0a5cbfe40fb9,acronym,FLMaV-1,
f26a4d7a-82a2-5ddb-aa68-9e2ecfc711c4,acronym,STIV2,
7b2e656b-9c92-5fc7-9ecc-19a2b91d7666,acronym,DHV-3,
5261eff0-4611-5de9-8faa-b64186ca4b39,acronym,DHV3,
d9f02008-af58-5932-83fa-96f89f4eae19,acronym,936,
b0ecb9c8-5554-50a0-9f1e-d52308e491e2,acronym,HMTV,
3c89982c-f182-5c16-88b8-5698488600b6,acronym,HVP2,
8fc0f6b6-aa46-53fd-9377-3fff9690274c,acronym,APSE-2,
edf30a7d-6664-541d-9c95-ea222c2f59c1,acronym,BCRV,
1c7187d6-20e1-5f5c-9464-5b9d5e2a6471,acronym,XMRV-VP35,
dd03c718-4a41-59f3-a38f-0ef4654bd581,acronym,XMRV-VP42,
8219fb61-0515-5015-a543-26bc41aec821,acronym,SFV-1,
ef3dff63-bcbf-5af2-827f-a7a59d2b5ed2,acronym,PCV2,
ca4435c6-d6ba-54bf-a4f6-d12deb88faff,acronym,SCLV,
4fa68e1b-08ac-5782-b023-393913ea5d1d,acronym,TBSV-P DI-5,
bd07b5a3-de31-552b-a218-c23a89cc14a4,acronym,TBSV-P DI-4,
706a9d27-5d7c-566f-ac16-856131a01e07,acronym,MHV-72,
0c97bbee-7afe-5c46-a64c-0cc876715a7f,acronym,PtRV-1,
1712813a-b245-5864-8611-b70be238a8d8,acronym,TAMV,
37636e68-2a19-5579-baa4-3395e4fe7e7f,acronym,CpHV-2,
8982ff27-adad-5826-b933-d0753b162c1e,acronym,ToYMoV,
78a72c63-5cb6-5cea-82bc-e887e58ad98b,acronym,XMRV 22Rv1/CWR-R1,
d2c08d92-ae1a-50d4-bf46-8078f14e589b,acronym,FECV-MSU1,
6f63744f-016c-554a-bde0-a617efd97ac8,acronym,HPV16,
f1eb0fa3-150b-5ad0-9100-c3ce4d8da5fc,acronym,HPV-151,
157b6bad-6ff9-53b7-850f-501a1caf1165,acronym,HPV-150,
ffe54de7-6e2d-59ca-86f8-163b2d789b2f,acronym,Mtv-17,
