taxonID,scientificName,parser_run
c1e55e65-fba8-5251-a8bf-cd6837f1770a,226 I Lg sofi Har Bulg,
a0079ccd-1354-5acb-8f62-a6072c8ff7fc,228 I Lg cnfl,
bac24b6d-e122-50f4-b5d7-a5b32f759e25,228 I Lg cnfl Bey Turk,
04070bcc-f705-54d3-9d17-f3dece9dbc89,301 I Lg artv Bal Turk,
205c30ce-a4ad-5395-ba27-9c34386839f9,301 I Lg cf artv,
8eb37264-42de-5552-be47-d3614ab3cd05,301 I Lg cf artv Bal Turk,
8cabb3ca-e9ea-5c19-8427-ee8bed694447,304 I Lg artv,
72352dcc-d745-5ff5-93c5-5c45cd97cffb,304 I Lg artv Art Turk,
21ebb457-046d-51f6-8854-32f34f6e91ea,305 I Lg lin,
4957b58c-92f7-52c4-bff5-35cc46b96beb,305 I Lg lin Cim Turk,
689e26cd-9c6b-5bb6-b1a7-f50f3b82821a,305 I Lg lini Cim Turk,
b2085496-46f2-5569-855a-26f4427d160b,309 Lg sofi MtRi Bulg,
845a5f86-ea7b-5201-8c49-91fdc3bf410a,310 Lv MtRi Bulg,
23f5efce-10a3-5fa0-b535-f078e2e4356b,312 I Lg lin,
9c4dcb53-18d4-5e53-9051-59390ad38ab0,312 I Lg lin Cim Turk,
d1a95646-0b99-5fbc-af11-ec2571d10c8a,312 I Lg lini Cim Turk,
5ed1cccc-fd4f-5a3f-964a-098806b2ba00,314 I Lg cf lin,
e021fb84-5aaf-5789-a4a4-348676133ad8,314 I Lg cf lin Kar Turk,
c9e2b960-c61b-58c5-9c27-120e25694182,705 Lv MkG Serb,
c922426b-c249-552f-bfc6-9df9b1744a29,707 Lv MkG Serb,
694b537b-87e6-522d-bb2e-5aef8a89fe39,716 Lg sofi MtRi Bulg,
6d3a6e61-a3c3-5365-9dc0-9e4d3bf7661d,722 Lv MtRi Bulg,
9f937750-e077-581d-8f29-ad339ab9cce7,723 Lv MtRi Bulg,
0b0151ad-8fe4-5a66-afe0-2182692133b3,771 Lv MkG Serb,
a60da3a3-1010-5485-964d-5b73c9d52c82,A adelphus,
f578930f-2e16-5e06-a074-6610bf413d34,A affinis,
f7c9e397-5a36-5c1c-af41-d13050a179a1,A cfreichei,
ddf6f373-e173-507a-bf83-42adfd74728c,A francei,
bec51f81-bb3a-57f9-8fb7-5e0e370022bc,A nikeae,
83af75ca-5553-58f5-a3b4-d9e0678b6bda,A poecilonotus,
ef7d10c9-bdd9-5a6f-beb9-4ef9e3413dc5,A reichei,
7832e52f-5ce4-548b-b154-398abd2a9e0a,A schubotzi,
113eeefd-f9bc-5c06-adba-7ccf812aee6d,A spnov2,
dfec04e0-da27-5d46-8223-70a98f6ac249,A stenodactylus,
5c45f1ee-1fb5-5c76-a53f-54fca2581cf7,A sylvaticus,
98806b56-28a9-5fb9-bd5f-697d251abe47,A tanneri,
bb02fdfe-efdb-587a-923b-8596710ff556,A variabilis,
161ebc8f-41d0-5133-9e36-3f57f6313084,A wahlbergii,
b05b5b4d-5e60-51fd-93d0-dcf16830492f,A xenodactylus,
b102e759-cd97-5e24-b19f-7b9374578605,A. aegypti,1
3c2ed601-40dd-5f1b-85c7-0ee3e1a3e241,A. anatina,1
3c32cebb-c8be-5981-a2ee-8af2ed339a71,A. ayanganna,1
90248600-6d58-56b2-afb1-f0eee5d68a6f,A. baeobatrachus,1
93acdc19-85a7-546b-8a6b-95a8b0ab69a2,A. beebei,1
67cea637-9041-56eb-a3b2-2ec136cd1d20,A. berda,1
abc8266c-f874-5652-b014-f5f18f06231e,A. castellanii,1
1fb3eb44-f2e7-5f14-a103-226754a25d96,A. concii,1
c4664c5d-1948-5300-b0ad-eecf1417bf8c,A. cristati,1
530af5a1-bc5a-58f5-a671-7f72606b9a76,A. degravillei,1
852efdcb-faae-5d05-ab8c-fe5e52b14576,A. falkenbachi,1
8674f357-1809-5dab-9a6f-07bc9c28d0d8,A. femoralis,1
907d95dc-c918-5e91-9054-6cfc2e0cfb5f,A. ferox,1
692fcf8b-e451-5f2c-9255-3fe1fcfba3c9,A. fulica,1
ebbdf497-7743-5039-9a8b-dddd45667e78,A. granti,1
a452e666-8f39-55d1-97dc-ca03df2dd973,A. haemastoma,1
9c5dc600-d9d0-5954-b57a-e7f2a2f8d634,A. kaiei,1
49252068-c699-5912-b727-7df82093eb5c,A. leucorraphe,1
0045ffbf-b7e0-5203-8bd1-edd90b10edff,A. mcgrewi,1
fe899af8-0c28-5d27-9fd3-865fec48115f,A. megacephalus,1
c10fb044-4fba-5b97-88a0-0a6327c8e9bf,A. sp.,
8290769d-3295-5853-a466-a33e4b67bcbd,"A. sp. """"Neblina"""" 2",1
94bc515c-a4e8-56f4-a51b-c00394515563,"A. sp. """"Santa Maria"""" 1",1
