TaxonId	matchedType	inputName	matchedName	matchedCanonicalForm	inputRank	matchedRank	synonymStatus	acceptedName	matchedEditDistance	matchedScore	matchTaxonID
1	Exact string match	Animalia	Animalia	Animalia	kingdom	kingdom	false	Animalia	0	0.982	26922039
1	Exact string match	Animalia	Animalia	Animalia	kingdom	kingdom	false	Animalia	0	0.982	26922039
2	Exact string match	Acanthocephala	Acanthocephala	Acanthocephala	phylum	genus	false	Acanthocephala	0	0.982	26992993
2	Exact string match	Acanthocephala	Acanthocephala	Acanthocephala	phylum	phylum	false	Acanthocephala	0	0.982	26927070
2	Exact string match	Acanthocephala	Acanthocephala	Acanthocephala	phylum	genus	false	Acanthocephala	0	0.982	26992993
2	Exact string match	Acanthocephala	Acanthocephala	Acanthocephala	phylum	phylum	false	Acanthocephala	0	0.982	26927070
14	Exact string match	Annelida	Annelida	Annelida	phylum	phylum	false	Annelida	0	0.982	26922215
14	Exact string match	Annelida	Annelida	Annelida	phylum	phylum	false	Annelida	0	0.982	26922215
39	Exact string match	Arthropoda	Arthropoda	Arthropoda	phylum	phylum	false	Arthropoda	0	0.982	26922052
39	Exact string match	Arthropoda	Arthropoda	Arthropoda	phylum	phylum	false	Arthropoda	0	0.982	26922052
176	Exact string match	Brachiopoda	Brachiopoda	Brachiopoda	phylum	phylum	false	Brachiopoda	0	0.982	26928016
176	Exact string match	Brachiopoda	Brachiopoda	Brachiopoda	phylum	phylum	false	Brachiopoda	0	0.982	26928016
183	Exact string match	Cephalorhyncha	Cephalorhyncha	Cephalorhyncha	phylum	phylum	false	Cephalorhyncha	0	0.982	26922968
183	Exact string match	Cephalorhyncha	Cephalorhyncha	Cephalorhyncha	phylum	genus	false	Cephalorhyncha	0	0.982	27036636
183	Exact string match	Cephalorhyncha	Cephalorhyncha	Cephalorhyncha	phylum	phylum	false	Cephalorhyncha	0	0.982	26922968
183	Exact string match	Cephalorhyncha	Cephalorhyncha	Cephalorhyncha	phylum	genus	false	Cephalorhyncha	0	0.982	27036636
193	Exact string match	Chaetognatha	Chaetognatha	Chaetognatha	phylum	phylum	false	Chaetognatha	0	0.982	26923046
193	Exact string match	Chaetognatha	Chaetognatha	Chaetognatha	phylum	phylum	false	Chaetognatha	0	0.982	26923046
196	Exact string match	Chordata	Chordata	Chordata	phylum	phylum	false	Chordata	0	0.982	26922040
196	Exact string match	Chordata	Chordata	Chordata	phylum	phylum	false	Chordata	0	0.982	26922040
338	Exact string match	Cnidaria	Cnidaria	Cnidaria	phylum	phylum	false	Cnidaria	0	0.982	26922899
338	Exact string match	Cnidaria	Cnidaria	Cnidaria	phylum	phylum	false	Cnidaria	0	0.982	26922899
371	Exact string match	Ctenophora	Ctenophora	Ctenophora	phylum	genus	false	Ctenophora	0	0.982	26993768
371	Exact string match	Ctenophora	Ctenophora	Ctenophora	phylum	phylum	false	Ctenophora	0	0.982	26922064
371	Exact string match	Ctenophora	Ctenophora	Ctenophora	phylum	genus	false	Ctenophora	0	0.982	26993768
371	Exact string match	Ctenophora	Ctenophora	Ctenophora	phylum	phylum	false	Ctenophora	0	0.982	26922064
381	Exact string match	Cycliophora	Cycliophora	Cycliophora	phylum	phylum	false	Cycliophora	0	0.982	26922353
381	Exact string match	Cycliophora	Cycliophora	Cycliophora	phylum	phylum	false	Cycliophora	0	0.982	26922353
384	Exact string match	Echinodermata	Echinodermata	Echinodermata	phylum	phylum	false	Echinodermata	0	0.982	26922248
384	Exact string match	Echinodermata	Echinodermata	Echinodermata	phylum	phylum	false	Echinodermata	0	0.982	26922248
421	Exact string match	Echiura	Echiura	Echiura	phylum	phylum	false	Echiura	0	0.982	26926365
421	Exact string match	Echiura	Echiura	Echiura	phylum	phylum	false	Echiura	0	0.982	26926365
431	Exact string match	Entoprocta	Entoprocta	Entoprocta	phylum	phylum	false	Entoprocta	0	0.982	26927161
431	Exact string match	Entoprocta	Entoprocta	Entoprocta	phylum	phylum	false	Entoprocta	0	0.982	26927161
436	Exact string match	Gastrotricha	Gastrotricha	Gastrotricha	phylum	phylum	false	Gastrotricha	0	0.982	26926288
436	Exact string match	Gastrotricha	Gastrotricha	Gastrotricha	phylum	phylum	false	Gastrotricha	0	0.982	26926288
440	Exact string match	Gnathostomulida	Gnathostomulida	Gnathostomulida	phylum	phylum	false	Gnathostomulida	0	0.982	26922328
440	Exact string match	Gnathostomulida	Gnathostomulida	Gnathostomulida	phylum	phylum	false	Gnathostomulida	0	0.982	26922328
444	Exact string match	Hemichordata	Hemichordata	Hemichordata	phylum	phylum	false	Hemichordata	0	0.982	26926372
444	Exact string match	Hemichordata	Hemichordata	Hemichordata	phylum	phylum	false	Hemichordata	0	0.982	26926372
455	Exact string match	Mollusca	Mollusca	Mollusca	phylum	phylum	false	Mollusca	0	0.982	26922078
455	Exact string match	Mollusca	Mollusca	Mollusca	phylum	phylum	false	Mollusca	0	0.982	26922078
511	Exact string match	Myxozoa	Myxozoa	Myxozoa	phylum	phylum	false	Myxozoa	0	0.982	26927255
511	Exact string match	Myxozoa	Myxozoa	Myxozoa	phylum	phylum	false	Myxozoa	0	0.982	26927255
517	Exact string match	Nematoda	Nematoda	Nematoda	phylum	phylum	false	Nematoda	0	0.982	26927491
517	Exact string match	Nematoda	Nematoda	Nematoda	phylum	phylum	false	Nematoda	0	0.982	26927491
